Country,Section ID,Section,Trade Value,Year
Kuwait,18,Instruments,57667323,2014
Kuwait,19,Weapons,11327436,2014
Kuwait,20,Miscellaneous,88898441,2014
Kuwait,21,Arts and Antiques,31282077,2014
Kuwait,1,Animal Products,176593478,2015
Kuwait,2,Vegetable Products,105304816,2015
Kuwait,3,Animal and Vegetable Bi-Products,10213514,2015
Kuwait,4,Foodstuffs,251872058,2015
Kuwait,5,Mineral Products,128200641,2015
Kuwait,6,Chemical Products,2858215809,2015
Kuwait,7,Plastics and Rubbers,1145843233,2015
Kuwait,8,Animal Hides,8676705,2015
Kuwait,9,Wood Products,6321931,2015
Kuwait,10,Paper Goods,124764586,2015
Kuwait,11,Textiles,108414063,2015
Kuwait,12,Footwear and Headwear,7623684,2015
Kuwait,13,Stone And Glass,125236141,2015
Kuwait,14,Precious Metals,215193044,2015
Kuwait,15,Metals,345230692,2015
Kuwait,16,Machines,397331592,2015
Kuwait,17,Transportation,785258965,2015
Kuwait,18,Instruments,63407148,2015
Kuwait,19,Weapons,846596,2015
Kuwait,20,Miscellaneous,64913095,2015
Kuwait,21,Arts and Antiques,4383907,2015
Kuwait,1,Animal Products,171181276,2016
Kuwait,2,Vegetable Products,102352802,2016
Kuwait,3,Animal and Vegetable Bi-Products,11824052,2016
Kuwait,4,Foodstuffs,234588709,2016
Kuwait,5,Mineral Products,54477219,2016
Kuwait,6,Chemical Products,2347894626,2016
Kuwait,7,Plastics and Rubbers,1075522187,2016
Kuwait,8,Animal Hides,10806531,2016
Kuwait,9,Wood Products,4952408,2016
Kuwait,10,Paper Goods,118147660,2016
Kuwait,11,Textiles,118871854,2016
Kuwait,12,Footwear and Headwear,7279303,2016
Kuwait,13,Stone And Glass,93211198,2016
Kuwait,14,Precious Metals,178075535,2016
Kuwait,15,Metals,300328438,2016
Kuwait,16,Machines,336325775,2016
Kuwait,17,Transportation,742642732,2016
Kuwait,18,Instruments,74822780,2016
Kuwait,19,Weapons,794049,2016
Kuwait,20,Miscellaneous,73174789,2016
Kuwait,21,Arts and Antiques,1236823,2016
Kuwait,1,Animal Products,198672584,2017
Kuwait,2,Vegetable Products,164434005,2017
Kuwait,3,Animal and Vegetable Bi-Products,14648765,2017
Kuwait,4,Foodstuffs,286935507,2017
Kuwait,5,Mineral Products,52113934,2017
Kuwait,6,Chemical Products,2707353364,2017
Kuwait,7,Plastics and Rubbers,1080839223,2017
Kuwait,8,Animal Hides,6653815,2017
Kuwait,9,Wood Products,4683561,2017
Kuwait,10,Paper Goods,136419185,2017
Kuwait,11,Textiles,71013775,2017
Kuwait,12,Footwear and Headwear,12462912,2017
Kuwait,13,Stone And Glass,92979212,2017
Kuwait,14,Precious Metals,170937532,2017
Kuwait,15,Metals,418364009,2017
Kuwait,16,Machines,338927334,2017
Kuwait,17,Transportation,1002975080,2017
Kuwait,18,Instruments,100315926,2017
Kuwait,19,Weapons,4363738,2017
Kuwait,20,Miscellaneous,56229927,2017
Kuwait,21,Arts and Antiques,903255,2017
Kuwait,1,Animal Products,198672584,2018
Kuwait,2,Vegetable Products,164434005,2018
Kuwait,3,Animal and Vegetable Bi-Products,14648765,2018
Kuwait,4,Foodstuffs,286935507,2018
Kuwait,5,Mineral Products,52113934,2018
Kuwait,6,Chemical Products,2707353364,2018
Kuwait,7,Plastics and Rubbers,1080839223,2018
Kuwait,8,Animal Hides,6653815,2018
Kuwait,9,Wood Products,4683561,2018
Kuwait,10,Paper Goods,136419185,2018
Kuwait,11,Textiles,71013775,2018
Kuwait,12,Footwear and Headwear,12462912,2018
Kuwait,13,Stone And Glass,92979212,2018
Kuwait,14,Precious Metals,170937532,2018
Kuwait,15,Metals,418364009,2018
Kuwait,16,Machines,338927334,2018
Kuwait,17,Transportation,1002975080,2018
Kuwait,18,Instruments,100315926,2018
Kuwait,19,Weapons,4363738,2018
Kuwait,20,Miscellaneous,56229927,2018
Kuwait,21,Arts and Antiques,903255,2018
Kuwait,1,Animal Products,44941327,2019
Kuwait,2,Vegetable Products,76950241,2019
Kuwait,3,Animal and Vegetable Bi-Products,12523203,2019
Kuwait,4,Foodstuffs,265727591,2019
Kuwait,5,Mineral Products,100289138,2019
Kuwait,6,Chemical Products,2929065496,2019
Kuwait,7,Plastics and Rubbers,846652987,2019
Kuwait,8,Animal Hides,7693149,2019
